OSN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,%,State,Constituency,ST_CODE,PC_CODE
21,PHOUJI SANDIP BABA,Independent,846,0,846,0.08,Madhya Pradesh,SATNA,S12,9
22,NOTA,None of the Above,2636,0,2636,0.24,Madhya Pradesh,SATNA,S12,9
1,GIRIJESH SINGH SENGER,Communist Party of India  (Marxist),10134,0,10134,1.03,Madhya Pradesh,REWA,S12,10
2,JANARDAN MISHRA,Bharatiya Janata Party,566766,0,566766,57.55,Madhya Pradesh,REWA,S12,10
3,VIKASH SINGH PATEL,Bahujan Samaj Party,88987,0,88987,9.04,Madhya Pradesh,REWA,S12,10
4,"SIDDHARTH TIWARI ""RAJ""",Indian National Congress,263506,0,263506,26.76,Madhya Pradesh,REWA,S12,10
5,DR. ARUN KUMAR SATNAMI,Bahujan Mukti Party,3664,0,3664,0.37,Madhya Pradesh,REWA,S12,10
6,ARUN GAUTAM,Shri Janta Party,1632,0,1632,0.17,Madhya Pradesh,REWA,S12,10
7,CHHOTU KOL,Jan Samman party,1126,0,1126,0.11,Madhya Pradesh,REWA,S12,10
8,BADRI PRASAD KUSHWAHA,Akhil Bhartiya Apna Dal,2578,0,2578,0.26,Madhya Pradesh,REWA,S12,10
9,BABULAL KOL,Adhikar Vikas Party,1291,0,1291,0.13,Madhya Pradesh,REWA,S12,10
10,MAHENDRA KUMAR TIWARI,"Kisan Raj Party,",2353,0,2353,0.24,Madhya Pradesh,REWA,S12,10
11,RAM GOPAL SINGH PATEL,Peoples Party of India (Democratic),4900,0,4900,0.5,Madhya Pradesh,REWA,S12,10
12,REETA TRIPATHI,Bhartiya Shakti Chetna Party,2914,0,2914,0.3,Madhya Pradesh,REWA,S12,10
13,SHAKUNTALA MISHRA,Sapaks Party,3613,0,3613,0.37,Madhya Pradesh,REWA,S12,10
14,SHIV KUMAR MISHRA,Samagra Utthan Party,3780,0,3780,0.38,Madhya Pradesh,REWA,S12,10
15,SIYASHARAN KEVAT,Rashtriya Apna Dal,5535,0,5535,0.56,Madhya Pradesh,REWA,S12,10
16,SUNIT PANDEY 'SUMIT',AARAKSHAN VIRODHI PARTY,5423,0,5423,0.55,Madhya Pradesh,REWA,S12,10
17,SUBHRANSHU DWIVEDI - PADARI,Kisan Party of India,2500,0,2500,0.25,Madhya Pradesh,REWA,S12,10
18,AKHILESH SAKET,Independent,4659,0,4659,0.47,Madhya Pradesh,REWA,S12,10
19,DEVENDRA KUMAR MISHRA,Independent,1866,0,1866,0.19,Madhya Pradesh,REWA,S12,10
20,BRAHM DATTA MISHRA,Independent,1816,0,1816,0.18,Madhya Pradesh,REWA,S12,10
21,RAM KALESH SAKET,Independent,814,0,814,0.08,Madhya Pradesh,REWA,S12,10
22,SANAT KUMAR,Independent,840,0,840,0.09,Madhya Pradesh,REWA,S12,10
23,SUSHIL MISHRA (SABAKE MAHARAJ),Independent,1364,0,1364,0.14,Madhya Pradesh,REWA,S12,10
24,NOTA,None of the Above,2798,0,2798,0.28,Madhya Pradesh,REWA,S12,10
1,Ajay Arjun Singh,Indian National Congress,387271,0,387271,31.66,Madhya Pradesh,SIDHI,S12,11
2,Ram Lal Panika,Bahujan Samaj Party,25518,0,25518,2.09,Madhya Pradesh,SIDHI,S12,11
3,Riti Pathak,Bharatiya Janata Party,672199,0,672199,54.95,Madhya Pradesh,SIDHI,S12,11
4,Com. Sanjay Namdeo,Communist Party of India,26563,0,26563,2.17,Madhya Pradesh,SIDHI,S12,11
5,Anup Singh Sengar,Samagra Utthan Party,4844,0,4844,0.4,Madhya Pradesh,SIDHI,S12,11
6,Ashish Kumar Singh Chauhan,Shivsena,2333,0,2333,0.19,Madhya Pradesh,SIDHI,S12,11
7,Nirmala Dr. H.L. Prajapati,Akhil Bhartiya Gondwana Party,5292,0,5292,0.43,Madhya Pradesh,SIDHI,S12,11
8,Fatte Bahadur Singh Markam,Gondvana Gantantra Party,15511,0,15511,1.27,Madhya Pradesh,SIDHI,S12,11
9,Ram Kripal Bashor,Republican Party of India (A),2408,0,2408,0.2,Madhya Pradesh,SIDHI,S12,11
10,Ramdas Shah Mulnivasi,Peoples Party of India (Democratic),5951,0,5951,0.49,Madhya Pradesh,SIDHI,S12,11
11,Ram Rahees Kol,Communist Party of India (Marxist-Leninist) Red Star,3694,0,3694,0.3,Madhya Pradesh,SIDHI,S12,11
12,Ramvishal Pal,Rashtriya Shoshit Samaj Party,4917,0,4917,0.4,Madhya Pradesh,SIDHI,S12,11
13,"Ramadhar Gupta ""Mai Ke Lal""",Sapaks Party,5781,0,5781,0.47,Madhya Pradesh,SIDHI,S12,11
14,Shyam Lal Vaishya,Bhartiya Shakti Chetna Party,9956,0,9956,0.81,Madhya Pradesh,SIDHI,S12,11
15,Gyani Jaiswal,Saman Aadmi Saman Party,6090,0,6090,0.5,Madhya Pradesh,SIDHI,S12,11
16,Dileep Kumar Shukla,Independent,14767,0,14767,1.21,Madhya Pradesh,SIDHI,S12,11
17,Dharmendra Singh Baghel,Independent,6468,0,6468,0.53,Madhya Pradesh,SIDHI,S12,11
18,Dheerendra Kumar,Independent,1858,0,1858,0.15,Madhya Pradesh,SIDHI,S12,11
19,Rakesh Kumar Patel,Independent,5057,0,5057,0.41,Madhya Pradesh,SIDHI,S12,11
20,Ram Kumar Jaysval,Independent,1967,0,1967,0.16,Madhya Pradesh,SIDHI,S12,11
21,Ramraj Yadav,Independent,1059,0,1059,0.09,Madhya Pradesh,SIDHI,S12,11
22,Ramsahay Sahu,Independent,1007,0,1007,0.08,Madhya Pradesh,SIDHI,S12,11
23,Ramawatar Vishwakarma,Independent,1260,0,1260,0.1,Madhya Pradesh,SIDHI,S12,11
24,Lalan,Independent,1783,0,1783,0.15,Madhya Pradesh,SIDHI,S12,11
25,Lalta Prasad Jayswal,Independent,2646,0,2646,0.22,Madhya Pradesh,SIDHI,S12,11
26,"Shrawan Kumar Dwivedi ""Samajwadi""",Independent,1851,0,1851,0.15,Madhya Pradesh,SIDHI,S12,11
27,NOTA,None of the Above,5331,0,5331,0.44,Madhya Pradesh,SIDHI,S12,11
1,BAHAN KESHKALI KOL,Communist Party of India,33683,12,33695,2.72,Madhya Pradesh,SHAHDOL,S12,12
2,PRAMILA SINGH,Indian National Congress,343553,1091,344644,27.84,Madhya Pradesh,SHAHDOL,S12,12
3,MOHDAL SINGH PAV,Bahujan Samaj Party,20547,51,20598,1.66,Madhya Pradesh,SHAHDOL,S12,12
4,HIMADRI SINGH,Bharatiya Janata Party,746122,1855,747977,60.43,Madhya Pradesh,SHAHDOL,S12,12
5,KAMLA PRASAD BAIGA,Bhartiya Shakti Chetna Party,11510,4,11514,0.93,Madhya Pradesh,SHAHDOL,S12,12
6,MEERA SINGH,Chhattisgarh Vikas Ganga Rashtriya Party,3351,2,3353,0.27,Madhya Pradesh,SHAHDOL,S12,12
7,LAKSHYAPAT SINGH,Peoples Party of India (Democratic),4538,6,4544,0.37,Madhya Pradesh,SHAHDOL,S12,12
8,VIMAL SINGH KORCHE,Gondvana Gantantra Party,16759,30,16789,1.36,Madhya Pradesh,SHAHDOL,S12,12
9,GOKUL SINGH,Independent,3637,0,3637,0.29,Madhya Pradesh,SHAHDOL,S12,12
10,JHAMAKLAL,Independent,4941,0,4941,0.4,Madhya Pradesh,SHAHDOL,S12,12
11,DURGA MOSI,Independent,8025,1,8026,0.65,Madhya Pradesh,SHAHDOL,S12,12
12,NARAYAN SINGH UIKE,Independent,7508,1,7509,0.61,Madhya Pradesh,SHAHDOL,S12,12
13,MANNA SINGH,Independent,10604,0,10604,0.86,Madhya Pradesh,SHAHDOL,S12,12
14,NOTA,None of the Above,19995,32,20027,1.62,Madhya Pradesh,SHAHDOL,S12,12
1,RAKESH SINGH,Bharatiya Janata Party,825674,780,826454,65.41,Madhya Pradesh,JABALPUR,S12,13
2,AD. RAMRAJ RAM,Bahujan Samaj Party,12856,17,12873,1.02,Madhya Pradesh,JABALPUR,S12,13
3,Pt. VIVEK KRISHNA TANKHA,Indian National Congress,371562,148,371710,29.42,Madhya Pradesh,JABALPUR,S12,13
4,KULDEEP AHIRWAR,Republican Party of India (A),4115,1,4116,0.33,Madhya Pradesh,JABALPUR,S12,13
5,CHANDRA PRAKASH BHATNAGAR,AARAKSHAN VIRODHI PARTY,779,1,780,0.06,Madhya Pradesh,JABALPUR,S12,13
6,DEVENDRA KUMAR YADAV,Pragatishil Samajwadi Party (Lohia),593,2,595,0.05,Madhya Pradesh,JABALPUR,S12,13
7,BHUSHAN PRASAD SHUKLA,Bhartiya Shakti Chetna Party,1355,0,1355,0.11,Madhya Pradesh,JABALPUR,S12,13
8,MAHU SINGH PARASTE,Gondvana Gantantra Party,3443,3,3446,0.27,Madhya Pradesh,JABALPUR,S12,13
9,SHAHNAJ BEE ANSARI,Smart Indians Party,1911,1,1912,0.15,Madhya Pradesh,JABALPUR,S12,13
10,SHUKHDEV DAHIYA,Bhartiya Jan Sampark Party,1389,3,1392,0.11,Madhya Pradesh,JABALPUR,S12,13
11,AMJAD KHAN,Independent,991,1,992,0.08,Madhya Pradesh,JABALPUR,S12,13
12,ASHOK SINGH LODHI,Independent,1169,0,1169,0.09,Madhya Pradesh,JABALPUR,S12,13
13,GULAB SINGH (VIVEK),Independent,2241,0,2241,0.18,Madhya Pradesh,JABALPUR,S12,13
14,DR. DHAI AKSHAR,Independent,4315,0,4315,0.34,Madhya Pradesh,JABALPUR,S12,13
15,DHANUK,Independent,2665,0,2665,0.21,Madhya Pradesh,JABALPUR,S12,13
16,RAKESH SINGH S/O NATHURAM,Independent,9486,1,9487,0.75,Madhya Pradesh,JABALPUR,S12,13
17,RAKESH SINGH S/O BALJOR SINGH,Independent,7392,0,7392,0.59,Madhya Pradesh,JABALPUR,S12,13
18,RAM DAYAL PRAJAPAT,Independent,1176,0,1176,0.09,Madhya Pradesh,JABALPUR,S12,13
19,ENGR. RUPRAM SINGH,Independent,2702,0,2702,0.21,Madhya Pradesh,JABALPUR,S12,13
20,LAXMINARAYAN JAGANNATH SINGH LODHI,Independent,828,0,828,0.07,Madhya Pradesh,JABALPUR,S12,13
21,"VINAY KUMAR JAIN ""VINNU BHAIYYA""",Independent,1068,0,1068,0.08,Madhya Pradesh,JABALPUR,S12,13
22,SHRI LAL MARKAM (BADE SHRI),Independent,803,0,803,0.06,Madhya Pradesh,JABALPUR,S12,13
23,NOTA,None of the Above,4098,4,4102,0.32,Madhya Pradesh,JABALPUR,S12,13
1,KAMAL SINGH MARAVI,Indian National Congress,638372,0,638372,42.17,Madhya Pradesh,MANDLA,S12,14
2,FAGGAN SINGH KULASTE,Bharatiya Janata Party,735365,0,735365,48.57,Madhya Pradesh,MANDLA,S12,14
3,CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,15707,0,15707,1.04,Madhya Pradesh,MANDLA,S12,14
4,R. S. PARASTE (RAMSINGH),Sapaks Party,5053,0,5053,0.33,Madhya Pradesh,MANDLA,S12,14
5,MANITA MARKAM,Smart Indians Party,5225,0,5225,0.35,Madhya Pradesh,MANDLA,S12,14
6,DADA RAMGULAM UIKEY,Gondvana Gantantra Party,48782,0,48782,3.22,Madhya Pradesh,MANDLA,S12,14
7,SANJEEV KUMAR PANDRAM,Hindusthan Nirman Dal,4646,0,4646,0.31,Madhya Pradesh,MANDLA,S12,14
8,AJEET DHURWEY,Independent,5205,0,5205,0.34,Madhya Pradesh,MANDLA,S12,14
9,ADVOCATE-DEVSINGH KUMRE,Independent,7757,0,7757,0.51,Madhya Pradesh,MANDLA,S12,14
10,BHARAT SINGH POOSAM,Independent,15626,0,15626,1.03,Madhya Pradesh,MANDLA,S12,14
11,NOTA,None of the Above,32221,0,32221,2.13,Madhya Pradesh,MANDLA,S12,14
1,KANKAR MUNJARE,Bahujan Samaj Party,84996,0,84996,6.22,Madhya Pradesh,BALAGHAT,S12,15
2,ALI .M R. KHAN,Communist Party of India,9678,0,9678,0.71,Madhya Pradesh,BALAGHAT,S12,15
3,DR DHAL SINGH BISEN,Bharatiya Janata Party,692859,0,692859,50.69,Madhya Pradesh,BALAGHAT,S12,15
4,MADHU BHAGAT,Indian National Congress,452594,0,452594,33.11,Madhya Pradesh,BALAGHAT,S12,15
5,ABHISHEK BILHORE,Bhartiya Shakti Chetna Party,5920,0,5920,0.43,Madhya Pradesh,BALAGHAT,S12,15
6,KARAN SINGH NAAGPURE,Bahujan Mukti Party,2436,0,2436,0.18,Madhya Pradesh,BALAGHAT,S12,15
7,JAISINGH TEKAM,Gondvana Gantantra Party,8625,0,8625,0.63,Madhya Pradesh,BALAGHAT,S12,15
8,MUKESH BANSOD,Ambedkarite Party of India,4073,0,4073,0.3,Madhya Pradesh,BALAGHAT,S12,15
9,YUVRAJ SINGH BAIS,"Proutist Bloc, India",1890,0,1890,0.14,Madhya Pradesh,BALAGHAT,S12,15
10,RAJAN MASIH,Bharat Prabhat Party,2016,0,2016,0.15,Madhya Pradesh,BALAGHAT,S12,15
11,BABOO RAJENDRA DHOKE,Peoples Party of India (Democratic),4171,0,4171,0.31,Madhya Pradesh,BALAGHAT,S12,15
12,SATISH TIWARI,Bhartiya Lokmat Rashtrwadi Party,3433,0,3433,0.25,Madhya Pradesh,BALAGHAT,S12,15
13,ADVOCATE SATYAPRAKASH SHULKE (LODHI),Madhya Pradesh Jan Vikas Party,5882,0,5882,0.43,Madhya Pradesh,BALAGHAT,S12,15
14,KISHOR SAMRITE,Independent,7361,0,7361,0.54,Madhya Pradesh,BALAGHAT,S12,15
15,GLG TANDEKAR,Independent,4504,0,4504,0.33,Madhya Pradesh,BALAGHAT,S12,15
16,NARAYAN BANJARE,Independent,8463,0,8463,0.62,Madhya Pradesh,BALAGHAT,S12,15
17,PITAM BORKAR,Independent,2740,0,2740,0.2,Madhya Pradesh,BALAGHAT,S12,15
18,BODHSINGH BHAGAT,Independent,47105,0,47105,3.45,Madhya Pradesh,BALAGHAT,S12,15
19,MAKBOOL SHAH,Independent,4787,0,4787,0.35,Madhya Pradesh,BALAGHAT,S12,15
20,SHRIMATI MANISHA VAID,Independent,3804,0,3804,0.28,Madhya Pradesh,BALAGHAT,S12,15
21,MEERSHYAM LILHARE LODHI,Independent,2319,0,2319,0.17,Madhya Pradesh,BALAGHAT,S12,15
22,RAKESH KUMAR,Independent,1505,0,1505,0.11,Madhya Pradesh,BALAGHAT,S12,15
23,RUPLAL KUTRAHE (SAMAJ SEVAK ) LODHI,Independent,1513,0,1513,0.11,Madhya Pradesh,BALAGHAT,S12,15
24,NOTA,None of the Above,4211,0,4211,0.31,Madhya Pradesh,BALAGHAT,S12,15
1,NAKUL KAMAL NATH,Indian National Congress,586551,754,587305,47.06,Madhya Pradesh,CHHINDWARA,S12,16
2,NATHANSAHA KAWRETI,Bharatiya Janata Party,548845,924,549769,44.05,Madhya Pradesh,CHHINDWARA,S12,16
3,GYANESHWAR GAJBHIYE,Bahujan Samaj Party,14262,13,14275,1.14,Madhya Pradesh,CHHINDWARA,S12,16
4,MANMOHAN SHAH BATTI,Akhil Bhartiya Gondwana Party,35871,97,35968,2.88,Madhya Pradesh,CHHINDWARA,S12,16
5,ADVOCATE RAJKUMAR SARYAM,Gondvana Gantantra Party,4694,12,4706,0.38,Madhya Pradesh,CHHINDWARA,S12,16
6,RAJESH TANTRIK,Ahinsa Samaj Party,1423,1,1424,0.11,Madhya Pradesh,CHHINDWARA,S12,16
7,M. P. VISHWAKARMA (MUNNA PRASAD),Rashtriya Aamjan Party,2271,1,2272,0.18,Madhya Pradesh,CHHINDWARA,S12,16
8,UIKEY RAMDAS,Independent,1656,3,1659,0.13,Madhya Pradesh,CHHINDWARA,S12,16
9,JOGILAL IRPACHI,Independent,1820,1,1821,0.15,Madhya Pradesh,CHHINDWARA,S12,16
10,DINESH SINGH UIKEY,Independent,2960,2,2962,0.24,Madhya Pradesh,CHHINDWARA,S12,16
11,DHANIRAM YADUWANSHI,Independent,3089,1,3090,0.25,Madhya Pradesh,CHHINDWARA,S12,16
12,RAMESHWAR DHURVE,Independent,4186,0,4186,0.34,Madhya Pradesh,CHHINDWARA,S12,16
13,SUBHASH SHUKLA,Independent,6844,0,6844,0.55,Madhya Pradesh,CHHINDWARA,S12,16
14,HEMENDRA (BUNTY) GOHAR,Independent,11426,0,11426,0.92,Madhya Pradesh,CHHINDWARA,S12,16
15,NOTA,None of the Above,20312,12,20324,1.63,Madhya Pradesh,CHHINDWARA,S12,16
1,UDAY PRATAP SINGH,Bharatiya Janata Party,876911,1016,877927,69.35,Madhya Pradesh,HOSHANGABAD,S12,17
2,M.P. CHOUDHARY,Bahujan Samaj Party,15336,28,15364,1.21,Madhya Pradesh,HOSHANGABAD,S12,17
3,SHAILENDRA DIWAN CHANDARBHAN SINGH,Indian National Congress,324139,106,324245,25.61,Madhya Pradesh,HOSHANGABAD,S12,17
4,DINESH KATARE,Ambedkarite Party of India,7829,4,7833,0.62,Madhya Pradesh,HOSHANGABAD,S12,17
5,DEVENDRA SHARMA,Sapaks Party,1874,0,1874,0.15,Madhya Pradesh,HOSHANGABAD,S12,17
6,BHAVANI SHANKAR SAINI (MONU SAINI),Pragatishil Samajwadi Party (Lohia),1269,2,1271,0.1,Madhya Pradesh,HOSHANGABAD,S12,17
7,RAJESH KUMAR UIKEY,Gondvana Gantantra Party,3412,25,3437,0.27,Madhya Pradesh,HOSHANGABAD,S12,17
8,ARYA RAVI PARIHAR,Independent,1803,2,1805,0.14,Madhya Pradesh,HOSHANGABAD,S12,17
9,DIWAN SHAILENDRA,Independent,3424,2,3426,0.27,Madhya Pradesh,HOSHANGABAD,S12,17
10,MADAN MOHAN,Independent,5436,1,5437,0.43,Madhya Pradesh,HOSHANGABAD,S12,17
11,SHALIGRAM MAKODIYA,Independent,4836,1,4837,0.38,Madhya Pradesh,HOSHANGABAD,S12,17
12,NOTA,None of the Above,18410,3,18413,1.45,Madhya Pradesh,HOSHANGABAD,S12,17
1,Geetawali Er. P.S. Ahirwar,Bahujan Samaj Party,14319,90,14409,1.15,Madhya Pradesh,VIDISHA,S12,18
2,Ramakant Bhargava,Bharatiya Janata Party,850443,2579,853022,68.23,Madhya Pradesh,VIDISHA,S12,18
3,Shailendra Rameshchandra Patel,Indian National Congress,348815,1123,349938,27.99,Madhya Pradesh,VIDISHA,S12,18
4,Madan Lal Bhadoriya,Prajatantrik Samadhan Party,4609,3,4612,0.37,Madhya Pradesh,VIDISHA,S12,18
5,Ramkrishna Surywanshi,Bahujan Mukti Party,999,1,1000,0.08,Madhya Pradesh,VIDISHA,S12,18
6,Anil Malviya Patrakar,Independent,792,1,793,0.06,Madhya Pradesh,VIDISHA,S12,18
7,"Mohd. Talat Khan ""Talat""",Independent,1086,0,1086,0.09,Madhya Pradesh,VIDISHA,S12,18
8,Devendra Singh Chouhan,Independent,2633,1,2634,0.21,Madhya Pradesh,VIDISHA,S12,18
9,Naveen Jatav,Independent,1185,2,1187,0.09,Madhya Pradesh,VIDISHA,S12,18
10,Mahant Pratap Giri,Independent,1258,2,1260,0.1,Madhya Pradesh,VIDISHA,S12,18
11,Vivek Kumar,Independent,2681,3,2684,0.21,Madhya Pradesh,VIDISHA,S12,18
12,Shailendra Patel,Independent,3897,1,3898,0.31,Madhya Pradesh,VIDISHA,S12,18
13,Sudhir Kumar,Independent,5101,1,5102,0.41,Madhya Pradesh,VIDISHA,S12,18
14,NOTA,None of the Above,8591,28,8619,0.69,Madhya Pradesh,VIDISHA,S12,18
1,DIGVIJAYA SINGH,Indian National Congress,496423,381,496804,35.75,Madhya Pradesh,BHOPAL,S12,19
2,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,852197,1270,853467,61.42,Madhya Pradesh,BHOPAL,S12,19
3,MADHO SINGH AHIRWAR,Bahujan Samaj Party,11041,27,11068,0.8,Madhya Pradesh,BHOPAL,S12,19
4,ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,Swarnim Bharat Inquilab,522,1,523,0.04,Madhya Pradesh,BHOPAL,S12,19
5,MD. IQBAL KHAN,Smart Indians Party,835,0,835,0.06,Madhya Pradesh,BHOPAL,S12,19
6,KAMLESH DANGI THAKUR,Hindusthan Nirman Dal,679,1,680,0.05,Madhya Pradesh,BHOPAL,S12,19
7,GAUTAM NAGDAVANE,Ambedkarite Party of India,851,1,852,0.06,Madhya Pradesh,BHOPAL,S12,19
8,PIYUSH JAIN,Right to Recall Party,480,1,481,0.03,Madhya Pradesh,BHOPAL,S12,19
9,PRABHA BHARTI,Jai Lok Party,460,4,464,0.03,Madhya Pradesh,BHOPAL,S12,19
10,CA PRAMOD BHOJWANI,Sanatan Sanskriti Raksha Dal,566,1,567,0.04,Madhya Pradesh,BHOPAL,S12,19
11,J.C. BARAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),470,0,470,0.03,Madhya Pradesh,BHOPAL,S12,19
12,BAL RAM SINGH TOMAR,Bhartiya Shakti Chetna Party,489,2,491,0.04,Madhya Pradesh,BHOPAL,S12,19
13,BHAURAO VITHOBA FULZELE,Bharat Prabhat Party,532,0,532,0.04,Madhya Pradesh,BHOPAL,S12,19
14,RAJ KUMAR SHAKYA (KORI),Jan Adhikar Party,872,1,873,0.06,Madhya Pradesh,BHOPAL,S12,19
15,RAJESH KEER,Bahujan Mukti Party,1426,0,1426,0.1,Madhya Pradesh,BHOPAL,S12,19
16,RAMSUSHIL SHARMA E/X/ C.R.P.F.,Samagra Utthan Party,2782,0,2782,0.2,Madhya Pradesh,BHOPAL,S12,19
17,LATA SURYAWANSHI,Samta Vikas Party,2665,1,2666,0.19,Madhya Pradesh,BHOPAL,S12,19
18,DR. VEENA GHANEKAR Rtd. IAS,Sapaks Party,3194,3,3197,0.23,Madhya Pradesh,BHOPAL,S12,19
19,SHRIMATI HEMLATA PATHAK,Sarvadharam Party (Madhya Pradesh),414,2,416,0.03,Madhya Pradesh,BHOPAL,S12,19
20,MOH. ATEEK,Independent,329,1,330,0.02,Madhya Pradesh,BHOPAL,S12,19
21,ALOK KUMAR,Independent,209,0,209,0.02,Madhya Pradesh,BHOPAL,S12,19
22,KAMLESH NAMDEV,Independent,283,0,283,0.02,Madhya Pradesh,BHOPAL,S12,19
23,DEVENDRA PRAKASH MISHRA,Independent,845,0,845,0.06,Madhya Pradesh,BHOPAL,S12,19
24,PRAVEEN SINGH THAKUR (PRAVEENA THAKUR),Independent,456,0,456,0.03,Madhya Pradesh,BHOPAL,S12,19
25,PRIYANKA KHARE,Independent,274,2,276,0.02,Madhya Pradesh,BHOPAL,S12,19
26,MAHENDRA-KATIYAR,Independent,263,0,263,0.02,Madhya Pradesh,BHOPAL,S12,19
27,MAHENDRA KUMAR,Independent,361,0,361,0.03,Madhya Pradesh,BHOPAL,S12,19
28,MUKESH KUMAR GUPTA,Independent,480,0,480,0.03,Madhya Pradesh,BHOPAL,S12,19
29,DESHMUKH RIYAZUDDIN GHAYASUDDIN,Independent,1245,0,1245,0.09,Madhya Pradesh,BHOPAL,S12,19
30,SUNIL KUMAR DODEJA,Independent,840,2,842,0.06,Madhya Pradesh,BHOPAL,S12,19
31,NOTA,None of the Above,5270,17,5287,0.38,Madhya Pradesh,BHOPAL,S12,19
1,MONA SUSTANI,Indian National Congress,392160,645,392805,31.17,Madhya Pradesh,RAJGARH,S12,20
2,RODMAL NAGAR,Bharatiya Janata Party,822225,1599,823824,65.37,Madhya Pradesh,RAJGARH,S12,20
3,TH. JAGDISH SINGH PARMAR,Samata Samadhan Party,9393,3,9396,0.75,Madhya Pradesh,RAJGARH,S12,20
4,PARVAT SINGH,Ambedkarite Party of India,4080,6,4086,0.32,Madhya Pradesh,RAJGARH,S12,20
5,MUKESH DANGI,Shivsena,1978,0,1978,0.16,Madhya Pradesh,RAJGARH,S12,20
6,SUSHEEL PRASAD,Bhartiya Amrit Party,1248,0,1248,0.1,Madhya Pradesh,RAJGARH,S12,20
7,"SANJAY GUPTA ""MAHAJAN""",Sapaks Party,1407,1,1408,0.11,Madhya Pradesh,RAJGARH,S12,20
8,IMAMDDIN KHAN,Independent,3706,1,3707,0.29,Madhya Pradesh,RAJGARH,S12,20
9,PANDIT DIVYENDRA DUBEY ADVOCATE,Independent,4153,2,4155,0.33,Madhya Pradesh,RAJGARH,S12,20
10,MOHSIN BHANEJ,Independent,2577,0,2577,0.2,Madhya Pradesh,RAJGARH,S12,20
11,SANTOSH RAV,Independent,4768,2,4770,0.38,Madhya Pradesh,RAJGARH,S12,20
12,NOTA,None of the Above,10365,10,10375,0.82,Madhya Pradesh,RAJGARH,S12,20
1,PRAHLAD SINGH TIPANYA,Indian National Congress,489757,423,490180,35.04,Madhya Pradesh,DEWAS,S12,21
2,"BADRILAL ""AKELA""",Bahujan Samaj Party,18307,31,18338,1.31,Madhya Pradesh,DEWAS,S12,21
3,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,860708,1721,862429,61.65,Madhya Pradesh,DEWAS,S12,21
4,PRAVIN SHANTARAM GANGURDE,Bharat Prabhat Party,9806,12,9818,0.7,Madhya Pradesh,DEWAS,S12,21
5,NITIN VERMA,Independent,4636,3,4639,0.33,Madhya Pradesh,DEWAS,S12,21
6,MAHENDRA SING,Independent,4505,3,4508,0.32,Madhya Pradesh,DEWAS,S12,21
7,NOTA,None of the Above,9025,9,9034,0.65,Madhya Pradesh,DEWAS,S12,21
1,ANIL FIROJIYA,Bharatiya Janata Party,790207,1456,791663,63.21,Madhya Pradesh,UJJAIN,S12,22
2,BABULAL MALVIYA,Indian National Congress,425509,517,426026,34.01,Madhya Pradesh,UJJAIN,S12,22
3,SATISH PARMAR,Bahujan Samaj Party,10652,46,10698,0.85,Madhya Pradesh,UJJAIN,S12,22
4,MAHESH MARMAT,Shivsena,1527,6,1533,0.12,Madhya Pradesh,UJJAIN,S12,22
5,RAMCHANDRA PARMAR,Bahujan Mukti Party,937,3,940,0.08,Madhya Pradesh,UJJAIN,S12,22
6,AMBARAM PARMAR CHANDRAVANSHI,Independent,4873,4,4877,0.39,Madhya Pradesh,UJJAIN,S12,22
7,TILAKRAJ AHIRWAR,Independent,1437,1,1438,0.11,Madhya Pradesh,UJJAIN,S12,22
8,BANESINGH PARMAR,Independent,1798,1,1799,0.14,Madhya Pradesh,UJJAIN,S12,22
9,DR. SAGAR SOLANKI,Independent,3337,3,3340,0.27,Madhya Pradesh,UJJAIN,S12,22
10,NOTA,None of the Above,10188,9,10197,0.81,Madhya Pradesh,UJJAIN,S12,22
1,Prabhulal Meghwal,Bahujan Samaj Party,9664,0,9664,0.71,Madhya Pradesh,MANDSOUR,S12,23
2,Meenakshi Natarajan,Indian National Congress,470528,0,470528,34.39,Madhya Pradesh,MANDSOUR,S12,23
3,Sudheer Gupta,Bharatiya Janata Party,845944,0,845944,61.83,Madhya Pradesh,MANDSOUR,S12,23
4,Ismail Mev,Bahujan Maha Party,7760,0,7760,0.57,Madhya Pradesh,MANDSOUR,S12,23
5,Advocate Bapu Singh Gujar,Hindusthan Nirman Dal,1308,0,1308,0.1,Madhya Pradesh,MANDSOUR,S12,23
6,Meenakshi Chouhan,National Women's Party,1747,0,1747,0.13,Madhya Pradesh,MANDSOUR,S12,23
7,Shivlal Gurjar,Shivsena,1432,0,1432,0.1,Madhya Pradesh,MANDSOUR,S12,23
8,Nandlal Meena,Independent,3125,0,3125,0.23,Madhya Pradesh,MANDSOUR,S12,23
9,Prahlad Singh S. Rajput,Independent,1612,0,1612,0.12,Madhya Pradesh,MANDSOUR,S12,23
10,Fulchand Patidar,Independent,1490,0,1490,0.11,Madhya Pradesh,MANDSOUR,S12,23
11,Ranglal Dhanger,Independent,2682,0,2682,0.2,Madhya Pradesh,MANDSOUR,S12,23
